date,diesel_price_eur_per_1000l
2026-03-02,1560.3
2026-03-03,1584.1
2026-03-04,1607.8
2026-03-05,1631.6
2026-03-06,1655.3
2026-03-07,1679.1
2026-03-08,1702.8
2026-03-09,1726.6
2026-03-10,1740.9
2026-03-11,1755.2
2026-03-12,1769.5
2026-03-13,1783.8
2026-03-14,1798.1
2026-03-15,1812.4
2026-03-16,1826.7
2026-03-17,1843.9
2026-03-18,1861.0
2026-03-19,1878.2
2026-03-20,1895.3
2026-03-21,1912.5
2026-03-22,1929.7
2026-03-23,1946.8
2026-03-24,1952.3
2026-03-25,1957.8
2026-03-26,1963.3
2026-03-27,1968.8
2026-03-28,1974.3
2026-03-29,1979.8
2026-03-30,1985.3
2026-03-31,1987.8
2026-04-01,1990.4
2026-04-02,1993.0
2026-04-03,1995.6
2026-04-04,1998.1
2026-04-05,2000.7
2026-04-06,2003.3
2026-04-07,2001.9
2026-04-08,2000.4
2026-04-09,1999.0
2026-04-10,1997.6
2026-04-11,1996.2
2026-04-12,1994.8
2026-04-13,1993.3
2026-04-14,1983.3
2026-04-15,1973.3
2026-04-16,1963.3
2026-04-17,1953.3
2026-04-18,1943.2
2026-04-19,1933.2
2026-04-20,1923.2
2026-04-21,1917.2
2026-04-22,1911.2
2026-04-23,1905.2
2026-04-24,1899.2
2026-04-25,1893.2
2026-04-26,1887.2
2026-04-27,1881.3
2026-04-28,1881.3
2026-04-29,1881.3
2026-04-30,1881.3
2026-05-01,1881.3
2026-05-02,1881.3
2026-05-03,1881.3
2026-05-04,1881.3
2026-05-05,1881.3
2026-05-06,1881.3
2026-05-07,1881.3
2026-05-08,1881.3
2026-05-09,1881.3
2026-05-10,1881.3
2026-05-11,1881.3
2026-05-12,1881.3
2026-05-13,1881.3
2026-05-14,1881.3
2026-05-15,1881.3
2026-05-16,1881.3
2026-05-17,1881.3
2026-05-18,1881.3
2026-05-19,1881.3
2026-05-20,1881.3
2026-05-21,1881.3
2026-05-22,1881.3
2026-05-23,1881.3
2026-05-24,1881.3
2026-05-25,1881.3
2026-05-26,1881.3
2026-05-27,1881.3
2026-05-28,1881.3
2026-05-29,1881.3
2026-05-30,1881.3
2026-05-31,1881.3
2026-06-01,1881.3
